student_id,answer_count,correct_rate,last_7_days_answer_count,total_study_time,avg_study_time,completed_task_count,completion_rate,task_type_count,morning_study_ratio,evening_study_ratio,video_audio_ratio,text_ratio,discuss_ratio
1840780744500391936,0,0.0,0,175.75,21.97,8,1.0,2,0.0,0.0,0.5,0.5,0
1840348588070490112,0,0.0,0,159.47,17.72,8,0.89,2,0.0,1.0,0.5,0.5,0
1839664954161143808,0,0.0,0,226.7,11.93,13,0.68,2,0.36,0.64,0.52,0.48,0
18407915501934796801840652674042343424,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
1838028838184222720,49,0.122,49,50.7,3.9,3,0.23,2,0.0,0.0,0.5,0.5,0
1839622224867188736,0,0.0,0,337.82,16.89,17,0.85,2,0.816,0.184,0.5,0.5,0
18403893337744179201840785811651891200,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
1840640557005955072,0,0.0,0,159.47,8.86,8,0.44,2,0.01,0.99,0.5,0.5,0
1840679067618435072,55,0.0,55,352.23,17.61,18,0.9,2,1.0,0.0,0.5,0.5,0
18407898693987860481840771656241160192,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
1840782850779967488,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
1840679067618435072,55,0.0,55,352.23,17.61,18,0.9,2,1.0,0.0,0.5,0.5,0
